show_id,type,title,cast,release_year,duration.int,duration.type,rating
ns167,movie,once upon a time in america,"robert de niro, james woods, elizabeth mcgovern, treat williams, tuesday weld, burt young, joe pesci, danny aiello, william forsythe, james hayden",1984,229.0,min,3.6106382978723404
ns168,movie,open season 2,"joel mchale, mike epps, jane krakowski, billy connolly, crispin glover, steve schirripa, georgia engel, diedrich bader, cody cameron, fred stoller, olivia hack",2008,76.0,min,3.5961098398169336
ns169,movie,osmosis jones,"chris rock, laurence fishburne, david hyde pierce, brandy norwood, william shatner, ron howard, kid rock, ben stein",2001,95.0,min,3.6010204081632655
ns170,movie,poseidon,"josh lucas, kurt russell, jacinda barrett, richard dreyfuss, emmy rossum, mía maestro, mike vogel, kevin dillon, freddy rodríguez",2006,98.0,min,3.6173814898419865
ns171,movie,rhyme & reason,"too $hort, b-real, kurtis blow, da brat, grandmaster caz, sean ""p. diddy"" combs, chuck d., desiree densiti, dr. dre, e-40, mc eiht, heavy d, lauryn hill, ice-t, wyclef jean, ras kass, krs-one, l.v., mack 10, craig mack, method man, keith murray, nasir 'nas' jones, the notorious b.i.g., master p, q-tip, raekwon, redman, senen reyes, busta rhymes, rza, dj scratch, erick sermon, tupac shakur, adario strange, suave",1997,89.0,min,3.515184381778742
ns172,movie,same kind of different as me,"greg kinnear, renée zellweger, djimon hounsou, jon voight, olivia holt",2017,120.0,min,3.5854978354978355
ns173,movie,school of rock,"jack black, joan cusack, mike white, sarah silverman, lee wilkof, kate mcgregor-stewart, adam pascal, suzzanne douglas, miranda cosgrove, kevin alexander clark, joey gaydos jr., robert tsai, veronica afflerbach, jordan-claire green",2003,110.0,min,3.600213219616205
ns174,movie,snervous tyler oakley,tyler oakley,2015,83.0,min,3.5200400801603204
ns175,movie,tears of the sun,"bruce willis, monica bellucci, cole hauser, eamonn walker, johnny messner, nick chinlund, charles ingram, paul francis, chad smith, tom skerritt, malick bowens, awaovieyi agie",2003,121.0,min,3.644230769230769
ns176,movie,the blue lagoon,"brooke shields, christopher atkins, leo mckern, william daniels, elva josephson, glenn kohan, alan hopgood, gus mercurio",1980,105.0,min,3.4793926247288502
ns177,movie,the golden child,"eddie murphy, j.l. reate, charles dance, charlotte lewis, victor wong, randall tex cobb, james hong, shakti chen, tau logo, tiger chung lee",1986,94.0,min,3.4919540229885055
ns178,movie,the guns of navarone,"gregory peck, david niven, anthony quinn, stanley baker, anthony quayle, james darren, irene papas, gia scala, james robertson justice, richard harris",1961,156.0,min,3.551556420233463
ns179,movie,the interview,"james franco, seth rogen, lizzy caplan, randall park, diana bang, timothy simons, reese alexander, james yi",2014,112.0,min,3.59
